epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,6746.99,0.97634,0.58293,0.94262,0.89587,0.72829,0.81237,0.58309,0.96565,0.54658,0.95859,0.00128589,0.00128589,0.00128589
103,6812.6,0.98223,0.58663,0.94385,0.90513,0.72495,0.81244,0.58384,0.96593,0.54855,0.9596,0.00126891,0.00126891,0.00126891
104,6878.5,0.98188,0.58711,0.94236,0.8987,0.7258,0.81118,0.58193,0.96619,0.54988,0.9609,0.00125194,0.00125194,0.00125194
105,6944.52,0.97914,0.58337,0.93969,0.90692,0.72462,0.81075,0.58067,0.96807,0.55054,0.96118,0.00123497,0.00123497,0.00123497
106,7010.05,0.97979,0.58147,0.9439,0.91032,0.72064,0.81155,0.58169,0.9704,0.55024,0.95998,0.001218,0.001218,0.001218
107,7075.52,0.96675,0.5801,0.93985,0.91585,0.71899,0.81311,0.58267,0.96653,0.54848,0.96005,0.00120103,0.00120103,0.00120103
108,7141.11,0.97508,0.58037,0.93907,0.90416,0.72738,0.81362,0.58379,0.96508,0.54671,0.95746,0.00118406,0.00118406,0.00118406
109,7206.86,0.9717,0.5769,0.93805,0.90385,0.72783,0.81241,0.58243,0.96624,0.54728,0.95909,0.00116709,0.00116709,0.00116709
110,7272.65,0.97046,0.57521,0.93642,0.90544,0.72231,0.81266,0.58422,0.96388,0.5418,0.9581,0.00115011,0.00115011,0.00115011
111,7338.46,0.97132,0.57995,0.93971,0.90635,0.72411,0.81315,0.58476,0.96314,0.54406,0.95807,0.00113314,0.00113314,0.00113314
112,7403.98,0.97091,0.57726,0.93842,0.90777,0.72465,0.81492,0.58522,0.96126,0.54295,0.95728,0.00111617,0.00111617,0.00111617
113,7469.86,0.97208,0.57578,0.93911,0.89819,0.73056,0.81427,0.58537,0.95947,0.54328,0.95701,0.0010992,0.0010992,0.0010992
114,7535.83,0.96542,0.57587,0.9383,0.90444,0.72602,0.81323,0.58578,0.95772,0.54281,0.95587,0.00108223,0.00108223,0.00108223
115,7601.46,0.96306,0.57463,0.93809,0.90042,0.72453,0.81346,0.58559,0.9594,0.54251,0.95519,0.00106526,0.00106526,0.00106526
116,7667.1,0.9468,0.56478,0.93072,0.90614,0.72214,0.81439,0.58641,0.95644,0.54098,0.95516,0.00104829,0.00104829,0.00104829
117,7733.07,0.96371,0.57191,0.93378,0.91019,0.71922,0.81488,0.58634,0.95513,0.53871,0.95495,0.00103131,0.00103131,0.00103131
118,7798.98,0.96198,0.57035,0.93092,0.90831,0.72431,0.81587,0.58677,0.95497,0.53981,0.95489,0.00101434,0.00101434,0.00101434
119,7865.07,0.95661,0.56503,0.93429,0.91241,0.72131,0.8152,0.58667,0.95579,0.53925,0.95526,0.000997371,0.000997371,0.000997371
120,7930.64,0.96375,0.57214,0.93334,0.90634,0.72829,0.81438,0.58801,0.95607,0.53832,0.95536,0.0009804,0.0009804,0.0009804
121,7996.33,0.94694,0.56138,0.93004,0.90574,0.72904,0.81442,0.58823,0.95682,0.54047,0.95629,0.000963429,0.000963429,0.000963429
122,8062.06,0.94923,0.56255,0.93361,0.9019,0.73005,0.81629,0.58848,0.95519,0.53844,0.9559,0.000946457,0.000946457,0.000946457
123,8127.81,0.94849,0.56037,0.93158,0.90301,0.72737,0.81616,0.58841,0.95529,0.53862,0.95587,0.000929486,0.000929486,0.000929486
124,8193.62,0.95197,0.55858,0.9315,0.90908,0.72422,0.81645,0.5886,0.95541,0.54028,0.95545,0.000912514,0.000912514,0.000912514
125,8259.14,0.94648,0.56236,0.92825,0.90942,0.72696,0.8149,0.58828,0.95685,0.53974,0.95586,0.000895543,0.000895543,0.000895543
126,8325.26,0.94958,0.56031,0.93158,0.90013,0.72967,0.81703,0.58915,0.95405,0.53763,0.95413,0.000878571,0.000878571,0.000878571
127,8391.11,0.93981,0.55292,0.92611,0.90394,0.72971,0.81463,0.58855,0.95328,0.53819,0.95348,0.0008616,0.0008616,0.0008616
128,8457.09,0.93948,0.55746,0.93098,0.9062,0.73033,0.81419,0.5882,0.95604,0.53752,0.95515,0.000844629,0.000844629,0.000844629
129,8522.81,0.94668,0.55834,0.93038,0.90352,0.72803,0.81443,0.58852,0.95569,0.53628,0.95547,0.000827657,0.000827657,0.000827657
