epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4580.53,0.53599,0.30436,0.9325,0.98454,0.96901,0.98417,0.79584,0.62935,0.30569,0.843,0.00152349,0.00152349,0.00152349
89,4632.34,0.54353,0.31264,0.93492,0.97442,0.97552,0.98313,0.79054,0.62858,0.30138,0.84443,0.00150651,0.00150651,0.00150651
90,4684.3,0.54219,0.30402,0.93475,0.98616,0.96983,0.98514,0.7931,0.62995,0.30199,0.84615,0.00148954,0.00148954,0.00148954
91,4736.39,0.53492,0.30402,0.9364,0.97825,0.97934,0.98605,0.79803,0.62806,0.30152,0.84518,0.00147257,0.00147257,0.00147257
92,4788.3,0.53903,0.30946,0.93592,0.97977,0.9685,0.98469,0.79369,0.62336,0.30011,0.84422,0.0014556,0.0014556,0.0014556
93,4840.5,0.53924,0.30569,0.9347,0.97819,0.9776,0.9863,0.79812,0.63124,0.3039,0.85012,0.00143863,0.00143863,0.00143863
94,4892.23,0.52894,0.29915,0.93189,0.97991,0.97829,0.98548,0.79491,0.62842,0.29506,0.85525,0.00142166,0.00142166,0.00142166
95,4943.97,0.526,0.30161,0.92772,0.98532,0.95613,0.9825,0.79334,0.63214,0.30594,0.85326,0.00140469,0.00140469,0.00140469
96,4995.69,0.52963,0.29852,0.9315,0.98418,0.97158,0.9838,0.79437,0.6298,0.30155,0.85461,0.00138771,0.00138771,0.00138771
97,5047.44,0.53149,0.29999,0.93011,0.97552,0.97317,0.98418,0.79579,0.62739,0.29512,0.85116,0.00137074,0.00137074,0.00137074
98,5099.41,0.54106,0.3048,0.93628,0.97955,0.97335,0.98334,0.79604,0.624,0.30356,0.85128,0.00135377,0.00135377,0.00135377
99,5151.52,0.52901,0.29926,0.92916,0.98039,0.97573,0.97988,0.79449,0.62349,0.30266,0.8488,0.0013368,0.0013368,0.0013368
